author,datetime,upvotes,downvotes,forwards,source,headline,original_link
k44754 (9527),Thu Jun  1 11:30:37 2017,10,1,13,now news,[新聞] 青蔥價格大跌　創近五年新低紀錄,
dinex (),Thu Jun  1 11:31:44 2017,2,13,5,apple,[新聞] 小S「換衣秀」搶票房　下身藏童趣,
CamelW (駱駝峰),Thu Jun  1 11:32:23 2017,9,2,12,china times,[新聞] 看上前瞻基礎水環境商機 荷蘭擬與經濟部,
yuzukineko (閃亮三叔公),Thu Jun  1 11:33:02 2017,13,9,10,udn,[新聞] 抗日古戰場 玉井芒仔芒忠烈祠被燒毀,
HTC92 (中国台湾人的驕傲-92共識),Thu Jun  1 11:40:53 2017,17,19,15,,[新聞] 蔡英文：投入前瞻 我會是政府最努力的那,https://udn.com/news/story/10756/2496606?from=udn-ch1_breaknews-1-0-news
jac19860114 (天才跟白痴只有一線之隔),Thu Jun  1 11:42:16 2017,82,1,32,ettoday,[新聞] 「我車禍不知在哪」...護理師離奇自撞蒸,
cc21161 (戀愛技術學院),Thu Jun  1 11:47:49 2017,2,5,15,,[新聞] 阿聯酋仍禁員工掛台灣國旗徽章,https://goo.gl/ZwZM9V
jason0828 (杰哥),Thu Jun  1 11:48:02 2017,53,16,16,ettoday,[新聞] 女遊客沒付錢還高調負評1顆星　佛心老闆,
heinse (愛貓人士),Thu Jun  1 11:48:53 2017,16,1,9,liberty times,[新聞] 汽機車駕照代考槍手 賺4萬被罰88萬元,
DogCanFly (小狗會飛),Thu Jun  1 11:55:18 2017,139,5,93,,[新聞] 南韓文在寅：不會改變薩德部署決定,https://udn.com/news/story/7331/2495930
i19890813 (Duham),Thu Jun  1 12:07:14 2017,6,0,0,liberty times,[新聞] 全國首輛無人小巴台大亮相 7月試乘,
XXXXGGYY ((4X鮑)),Thu Jun  1 12:07:38 2017,17,9,18,,[新聞] 青年低薪 科技部提解方,https://udn.com/news/story/7269/2496709?from=udn-ch1_breaknews-1-0-news
